,loading,Input,Match type,Approved symbol,Approved name,HGNC ID,Location
HMGA2,0.022848939,HMGA2,Approved symbol,HMGA2,high mobility group AT-hook 2,HGNC:5009,12q14.3
BBIP1,-0.022789308,BBIP1,Approved symbol,BBIP1,BBSome interacting protein 1,HGNC:28093,10q25.2
CTDSPL,0.022651701,CTDSPL,Approved symbol,CTDSPL,CTD small phosphatase like,HGNC:16890,3p22.2
SMPDL3B,0.022586797,SMPDL3B,Approved symbol,SMPDL3B,sphingomyelin phosphodiesterase acid like 3B,HGNC:21416,1p35.3
TMEM38A,0.022540112,TMEM38A,Approved symbol,TMEM38A,transmembrane protein 38A,HGNC:28462,19p13.11
TMEM59,0.0222905,TMEM59,Approved symbol,TMEM59,transmembrane protein 59,HGNC:1239,1p32.3
RP11-677M14.3,0.022211023,RP11-677M14.3,Unmatched,RP11-677M14.3,,,
APBA1,0.022206448,APBA1,Approved symbol,APBA1,amyloid beta precursor protein binding family A member 1,HGNC:578,9q21.12
ACVR1B,0.022081506,ACVR1B,Approved symbol,ACVR1B,activin A receptor type 1B,HGNC:172,12q13.13
CLDN2,-0.022073068,CLDN2,Approved symbol,CLDN2,claudin 2,HGNC:2041,Xq22.3
CA1,0.022055238,CA1,Approved symbol,CA1,carbonic anhydrase 1,HGNC:1368,8q21.2
ELOVL5,-0.022045367,ELOVL5,Approved symbol,ELOVL5,ELOVL fatty acid elongase 5,HGNC:21308,6p12.1
CTD-2555C10.3,-0.022018707,CTD-2555C10.3,Unmatched,CTD-2555C10.3,,,
NDRG2,0.02195575,NDRG2,Approved symbol,NDRG2,NDRG family member 2,HGNC:14460,14q11.2
HEPACAM2,0.021928193,HEPACAM2,Approved symbol,HEPACAM2,HEPACAM family member 2,HGNC:27364,7q21.2
IL4,-0.021899686,IL4,Approved symbol,IL4,interleukin 4,HGNC:6014,5q31.1
GPR125,0.021855813,GPR125,Previous symbol,ADGRA3,adhesion G protein-coupled receptor A3,HGNC:13839,4p15.2
RAB4A,0.021772353,RAB4A,Approved symbol,RAB4A,"RAB4A, member RAS oncogene family",HGNC:9781,1q42.13
UGT2B10,0.021765832,UGT2B10,Approved symbol,UGT2B10,UDP glucuronosyltransferase family 2 member B10,HGNC:12544,4q13.2
CAPN14,-0.021758142,CAPN14,Approved symbol,CAPN14,calpain 14,HGNC:16664,2p23.1
CD44,-0.021719157,CD44,Approved symbol,CD44,CD44 molecule (Indian blood group),HGNC:1681,11p13
ACAT1,0.021672197,ACAT1,Approved symbol,ACAT1,acetyl-CoA acetyltransferase 1,HGNC:93,11q22.3
RP11-1090M7.1,0.021653292,RP11-1090M7.1,Unmatched,RP11-1090M7.1,,,
PPP1R1B,0.021647782,PPP1R1B,Approved symbol,PPP1R1B,protein phosphatase 1 regulatory inhibitor subunit 1B,HGNC:9287,17q12
EPHB1,-0.021637117,EPHB1,Approved symbol,EPHB1,EPH receptor B1,HGNC:3392,3q22.2
LA16c-380H5.5,0.021618076,LA16c-380H5.5,Unmatched,LA16c-380H5.5,,,
TRABD2A,0.021617896,TRABD2A,Approved symbol,TRABD2A,TraB domain containing 2A,HGNC:27013,2p11.2
RAB40B,0.021608367,RAB40B,Approved symbol,RAB40B,"RAB40B, member RAS oncogene family",HGNC:18284,17q25.3
PHF11,-0.02159249,PHF11,Approved symbol,PHF11,PHD finger protein 11,HGNC:17024,13q14.2
CPA6,0.021559292,CPA6,Approved symbol,CPA6,carboxypeptidase A6,HGNC:17245,8q13.2
KRT7,-0.021551624,KRT7,Approved symbol,KRT7,keratin 7,HGNC:6445,12q13.13
TMEM192,0.021541367,TMEM192,Approved symbol,TMEM192,transmembrane protein 192,HGNC:26775,4q32.3
GABRP,-0.021524414,GABRP,Approved symbol,GABRP,gamma-aminobutyric acid type A receptor subunit pi,HGNC:4089,5q35.1
TCEA3,0.021491538,TCEA3,Approved symbol,TCEA3,transcription elongation factor A3,HGNC:11615,1p36.12
AC147651.4,-0.021491118,AC147651.4,Unmatched,AC147651.4,,,
CAMK1D,0.0214726,CAMK1D,Approved symbol,CAMK1D,calcium/calmodulin dependent protein kinase ID,HGNC:19341,10p13
TMEM98,0.021467066,TMEM98,Approved symbol,TMEM98,transmembrane protein 98,HGNC:24529,17q11.2
COG1,0.021466484,COG1,Approved symbol,COG1,component of oligomeric golgi complex 1,HGNC:6545,17q25.1
CTLA4,-0.021460882,CTLA4,Approved symbol,CTLA4,cytotoxic T-lymphocyte associated protein 4,HGNC:2505,2q33.2
ENDOD1,0.021447909,ENDOD1,Approved symbol,ENDOD1,endonuclease domain containing 1,HGNC:29129,11q21
HRH2,-0.021442989,HRH2,Approved symbol,HRH2,histamine receptor H2,HGNC:5183,5q35.2
ILDR1,0.02144147,ILDR1,Approved symbol,ILDR1,immunoglobulin like domain containing receptor 1,HGNC:28741,3q13.33
ATPAF1,0.021430711,ATPAF1,Approved symbol,ATPAF1,ATP synthase mitochondrial F1 complex assembly factor 1,HGNC:18803,1p33
USP30,0.021419401,USP30,Approved symbol,USP30,ubiquitin specific peptidase 30,HGNC:20065,12q24.11
MMP12,-0.021407874,MMP12,Approved symbol,MMP12,matrix metallopeptidase 12,HGNC:7158,11q22.2
SGSM1,0.021383768,SGSM1,Approved symbol,SGSM1,small G protein signaling modulator 1,HGNC:29410,22q11.23
CHRDL2,-0.021382361,CHRDL2,Approved symbol,CHRDL2,chordin like 2,HGNC:24168,11q13.4
ZFYVE9,0.02137375,ZFYVE9,Approved symbol,ZFYVE9,zinc finger FYVE-type containing 9,HGNC:6775,1p32.3
ADA,-0.021314172,ADA,Approved symbol,ADA,adenosine deaminase,HGNC:186,20q13.12
IGF2BP2,0.021271304,IGF2BP2,Approved symbol,IGF2BP2,insulin like growth factor 2 mRNA binding protein 2,HGNC:28867,3q27.2
MMP1,-0.021271236,MMP1,Approved symbol,MMP1,matrix metallopeptidase 1,HGNC:7155,11q22.2
DTX4,0.021269828,DTX4,Approved symbol,DTX4,deltex E3 ubiquitin ligase 4,HGNC:29151,11q12.1
CCL17,-0.021246668,CCL17,Approved symbol,CCL17,C-C motif chemokine ligand 17,HGNC:10615,16q21
NRARP,0.021244499,NRARP,Approved symbol,NRARP,NOTCH regulated ankyrin repeat protein,HGNC:33843,9q34.3
FOXD2,0.021230872,FOXD2,Approved symbol,FOXD2,forkhead box D2,HGNC:3803,1p33
TDO2,-0.021228192,TDO2,Approved symbol,TDO2,"tryptophan 2,3-dioxygenase",HGNC:11708,4q32.1
CNNM2,0.021200029,CNNM2,Approved symbol,CNNM2,cyclin and CBS domain divalent metal cation transport mediator 2,HGNC:103,10q24.32
UBASH3B,-0.021197195,UBASH3B,Approved symbol,UBASH3B,ubiquitin associated and SH3 domain containing B,HGNC:29884,11q24.1
WNK4,0.021175723,WNK4,Approved symbol,WNK4,WNK lysine deficient protein kinase 4,HGNC:14544,17q21.2
CTB-134H23.3,0.021168178,CTB-134H23.3,Unmatched,CTB-134H23.3,,,
PIK3R2,0.021161437,PIK3R2,Approved symbol,PIK3R2,phosphoinositide-3-kinase regulatory subunit 2,HGNC:8980,19p13.11
MMP7,-0.021158924,MMP7,Approved symbol,MMP7,matrix metallopeptidase 7,HGNC:7174,11q22.2
C17orf96,-0.021151651,C17orf96,Previous symbol,EPOP,elongin BC and polycomb repressive complex 2 associated protein,HGNC:34493,17q12
OSBPL3,-0.021144829,OSBPL3,Approved symbol,OSBPL3,oxysterol binding protein like 3,HGNC:16370,7p15.3
RP11-357H14.17,0.021135125,RP11-357H14.17,Unmatched,RP11-357H14.17,,,
FAM162A,0.02113363,FAM162A,Approved symbol,FAM162A,family with sequence similarity 162 member A,HGNC:17865,3q21.1
PSKH1,0.021117407,PSKH1,Approved symbol,PSKH1,protein serine kinase H1,HGNC:9529,16q22.1
AC093415.2,0.021107675,AC093415.2,Unmatched,AC093415.2,,,
XRCC6BP1,0.021088955,XRCC6BP1,Previous symbol,ATP23,ATP23 metallopeptidase and ATP synthase assembly factor homolog,HGNC:29452,12q14.1
STAT5A,-0.021084197,STAT5A,Approved symbol,STAT5A,signal transducer and activator of transcription 5A,HGNC:11366,17q21.2
MPND,0.021081016,MPND,Approved symbol,MPND,MPN domain containing,HGNC:25934,19p13.3
HPCA,0.021062663,HPCA,Approved symbol,HPCA,hippocalcin,HGNC:5144,1p35.1
CCR8,-0.021050452,CCR8,Approved symbol,CCR8,C-C motif chemokine receptor 8,HGNC:1609,3p22.1
PHF19,-0.021049054,PHF19,Approved symbol,PHF19,PHD finger protein 19,HGNC:24566,9q33.2
GHR,0.021037447,GHR,Approved symbol,GHR,growth hormone receptor,HGNC:4263,5p13.1-p12
IFI16,-0.021033685,IFI16,Approved symbol,IFI16,interferon gamma inducible protein 16,HGNC:5395,1q23.1
TACSTD2,-0.021028646,TACSTD2,Approved symbol,TACSTD2,tumor associated calcium signal transducer 2,HGNC:11530,1p32.1
PDPN,-0.020984244,PDPN,Approved symbol,PDPN,podoplanin,HGNC:29602,1p36.21
SLC6A6,-0.0209841,SLC6A6,Approved symbol,SLC6A6,solute carrier family 6 member 6,HGNC:11052,3p25.1
SHANK2,0.020976828,SHANK2,Approved symbol,SHANK2,SH3 and multiple ankyrin repeat domains 2,HGNC:14295,11q13.3-q13.4
FGR,-0.020974883,FGR,Approved symbol,FGR,"FGR proto-oncogene, Src family tyrosine kinase",HGNC:3697,1p35.3
RP11-333O1.1,-0.020933418,RP11-333O1.1,Unmatched,RP11-333O1.1,,,
DSCAML1,0.020915795,DSCAML1,Approved symbol,DSCAML1,DS cell adhesion molecule like 1,HGNC:14656,11q23.3
EMR2,-0.020912396,EMR2,Previous symbol,ADGRE2,adhesion G protein-coupled receptor E2,HGNC:3337,19p13.12
SPR,0.02091228,SPR,Approved symbol,SPR,sepiapterin reductase,HGNC:11257,2p13.2
IL18R1,-0.020899899,IL18R1,Approved symbol,IL18R1,interleukin 18 receptor 1,HGNC:5988,2q12.1
LRRN2,0.020899749,LRRN2,Approved symbol,LRRN2,leucine rich repeat neuronal 2,HGNC:16914,1q32.1
RAPGEFL1,0.020869759,RAPGEFL1,Approved symbol,RAPGEFL1,Rap guanine nucleotide exchange factor like 1,HGNC:17428,17q21.1
FOXD2-AS1,0.020868726,FOXD2-AS1,Approved symbol,FOXD2-AS1,FOXD2 adjacent opposite strand RNA 1,HGNC:44256,1p33
RHEBL1,-0.020864105,RHEBL1,Approved symbol,RHEBL1,RHEB like 1,HGNC:21166,12q13.12
NABP1,-0.020856605,NABP1,Approved symbol,NABP1,nucleic acid binding protein 1,HGNC:26232,2q32.3
STARD10,0.020854489,STARD10,Approved symbol,STARD10,StAR related lipid transfer domain containing 10,HGNC:10666,11q13.4
MED9,0.020842182,MED9,Approved symbol,MED9,mediator complex subunit 9,HGNC:25487,17p11.2
ATP11A,-0.020829477,ATP11A,Approved symbol,ATP11A,ATPase phospholipid transporting 11A,HGNC:13552,13q34
SLC41A1,-0.020827995,SLC41A1,Approved symbol,SLC41A1,solute carrier family 41 member 1,HGNC:19429,1q32.1
FBXO25,0.020826598,FBXO25,Approved symbol,FBXO25,F-box protein 25,HGNC:13596,8p23.3
NFKB2,-0.020814669,NFKB2,Approved symbol,NFKB2,nuclear factor kappa B subunit 2,HGNC:7795,10q24.32
TNFRSF9,-0.020811753,TNFRSF9,Approved symbol,TNFRSF9,TNF receptor superfamily member 9,HGNC:11924,1p36.23
CCDC109B,-0.020808476,CCDC109B,Previous symbol,MCUB,mitochondrial calcium uniporter dominant negative subunit beta,HGNC:26076,4q25
PRDX6,0.02079792,PRDX6,Approved symbol,PRDX6,peroxiredoxin 6,HGNC:16753,1q25.1
RFX5,-0.020797356,RFX5,Approved symbol,RFX5,regulatory factor X5,HGNC:9986,1q21.3
HAPLN3,-0.020772458,HAPLN3,Approved symbol,HAPLN3,hyaluronan and proteoglycan link protein 3,HGNC:21446,15q26.1
POFUT1,0.020767388,POFUT1,Approved symbol,POFUT1,protein O-fucosyltransferase 1,HGNC:14988,20q11.21
IL27RA,-0.020765486,IL27RA,Approved symbol,IL27RA,interleukin 27 receptor subunit alpha,HGNC:17290,19p13.12
RP11-247L20.4,0.020751147,RP11-247L20.4,Unmatched,RP11-247L20.4,,,
IFT57,0.020745987,IFT57,Approved symbol,IFT57,intraflagellar transport 57,HGNC:17367,3q13.12-q13.13
LCMT1,0.020744687,LCMT1,Approved symbol,LCMT1,leucine carboxyl methyltransferase 1,HGNC:17557,16p12.1
CALN1,0.020725258,CALN1,Approved symbol,CALN1,calneuron 1,HGNC:13248,7q11.22
MIR155HG,-0.020720837,MIR155HG,Approved symbol,MIR155HG,MIR155 host gene,HGNC:35460,21q21.3
LAMP3,-0.020717766,LAMP3,Approved symbol,LAMP3,lysosomal associated membrane protein 3,HGNC:14582,3q27.1
SLC22A23,0.020712301,SLC22A23,Approved symbol,SLC22A23,solute carrier family 22 member 23,HGNC:21106,6p25.2
CEACAM4,-0.020711353,CEACAM4,Approved symbol,CEACAM4,CEA cell adhesion molecule 4,HGNC:1816,19q13.2
PVT1,-0.020709648,PVT1,Approved symbol,PVT1,Pvt1 oncogene,HGNC:9709,8q24.21
PRPS1,-0.020706984,PRPS1,Approved symbol,PRPS1,phosphoribosyl pyrophosphate synthetase 1,HGNC:9462,Xq22.3
ARNTL2,-0.020695702,ARNTL2,Approved symbol,ARNTL2,aryl hydrocarbon receptor nuclear translocator like 2,HGNC:18984,12p11.23
ZNF613,0.020691901,ZNF613,Approved symbol,ZNF613,zinc finger protein 613,HGNC:25827,19q13.41
CSTA,-0.020689276,CSTA,Approved symbol,CSTA,cystatin A,HGNC:2481,3q21.1
MFSD4,0.020685834,MFSD4,Previous symbol,MFSD4A,major facilitator superfamily domain containing 4A,HGNC:25433,1q32.1
TRIB2,-0.020677164,TRIB2,Approved symbol,TRIB2,tribbles pseudokinase 2,HGNC:30809,2p24.3
ESM1,-0.020673476,ESM1,Approved symbol,ESM1,endothelial cell specific molecule 1,HGNC:3466,5q11.2
LILRA1,-0.020671227,LILRA1,Approved symbol,LILRA1,leukocyte immunoglobulin like receptor A1,HGNC:6602,19q13.42
EXPH5,0.020645287,EXPH5,Approved symbol,EXPH5,exophilin 5,HGNC:30578,11q22.3
BCAT2,0.020640513,BCAT2,Approved symbol,BCAT2,branched chain amino acid transaminase 2,HGNC:977,19q13.33
RN7SKP127,0.020627773,RN7SKP127,Approved symbol,RN7SKP127,RN7SK pseudogene 127,HGNC:45851,16p11.2
RELT,-0.02062652,RELT,Approved symbol,RELT,RELT TNF receptor,HGNC:13764,11q13.4
