,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Genus,sig_otu
OTU535,18.92984319,-6.989714792,1.460158811,-4.786955185,1.69E-06,0.000277702,CandidatusArthromitus,OTU535
OTU201,79.19222268,-8.083313697,1.801132053,-4.487907304,7.19E-06,0.000589795,Rhodococcus,OTU201
OTU937,872.4186522,-1.940772503,0.479820949,-4.044784846,5.24E-05,0.002862959,Alistipes,OTU937
OTU759,1.851228363,4.985597934,1.662713437,2.998470947,0.00271338,0.11124859,Anoxybacillus,OTU759
OTU37,63.48049536,2.072573822,0.720302675,2.877365158,0.004010113,0.122637933,Helicobacter,OTU37
OTU81,10.57228762,-5.167838847,1.820868259,-2.838117926,0.004538041,0.122637933,Klebsiella,OTU81
OTU105,7008.771571,2.561960662,0.932046435,2.748747879,0.005982338,0.122637933,Bacteroides,OTU105
OTU109,4040.679349,-1.793986553,0.645830277,-2.777798777,0.00547285,0.122637933,Prevotella,OTU109
OTU1082,24.13349801,-1.85197978,0.686839442,-2.696379481,0.007009776,0.127733693,Parabacteroides,OTU1082
OTU230,4.596517803,6.288757083,2.376517782,2.646206618,0.008140008,0.133496132,Spiroplasma,OTU230
OTU136,5.234723825,-5.142433784,2.203226919,-2.334046366,0.019593294,0.292118205,Capnocytophaga,OTU136
OTU63,4.922331142,-5.054695574,2.226938296,-2.269795972,0.023219965,0.30919976,Acinetobacter,OTU63
OTU876,328.0457247,-1.440472051,0.640482114,-2.249043367,0.024509737,0.30919976,Tannerella,OTU876
OTU47,14.83534996,-6.631932464,3.082738869,-2.151311787,0.031451599,0.368433012,Pseudomonas,OTU47
OTU669,3.538728956,-3.562239155,1.724891567,-2.065195994,0.038904459,0.425355423,Hymenobacter,OTU669
OTU438,2.603987804,-4.156510734,2.074765785,-2.003363832,0.045138251,0.462667069,Thauera,OTU438
OTU150,2.753579646,-4.23095486,2.180859284,-1.940040282,0.052374795,0.505262724,Microcystis,NA
OTU148,1.318718064,-3.197953933,1.829441756,-1.748049056,0.080455533,0.694458288,Chloroflexus,NA
OTU687,3.460272424,-3.522981811,2.007417516,-1.754982101,0.079262369,0.694458288,Cellulophaga,NA
OTU7,1.162556473,-3.052220701,1.852194808,-1.647893995,0.099374426,0.732535377,Shewanella,NA
OTU451,0.937460463,2.602286278,1.59478922,1.631743083,0.10273362,0.732535377,Neorickettsia,NA
OTU756,1.654851083,-3.414647507,2.089927099,-1.633859625,0.102288329,0.732535377,Massilia,NA
OTU1025,1.107869519,-2.95232036,1.741195257,-1.695571102,0.089967134,0.732535377,Pontibacter,NA
OTU31,0.972784037,-2.615220728,1.841198639,-1.420390322,0.155494079,0.863830982,Treponema,NA
OTU33,0.999425413,-2.836937177,1.931337569,-1.468897629,0.141860558,0.863830982,Leptospirillum,NA
OTU66,3.549708811,-2.54457486,1.794951456,-1.41762879,0.15629917,0.863830982,Psychrobacter,NA
OTU151,1.686209084,-2.463006315,1.669118954,-1.475632584,0.140042553,0.863830982,Synechococcus,NA
OTU493,4.21226629,-2.989187511,2.117334069,-1.411769429,0.158017863,0.863830982,Stenotrophomonas,NA
OTU497,0.985886194,-2.828417276,1.879389538,-1.504965958,0.132332829,0.863830982,Brevundimonas,NA
OTU938,0.992655803,-2.827099246,1.947945901,-1.451323286,0.14668986,0.863830982,Akkermansia,NA
OTU42,2.650133982,1.949089617,1.400089286,1.392118086,0.163886642,0.867013205,Francisella,NA
OTU116,68.09526764,-1.265254222,0.932487758,-1.356858801,0.17482608,0.870839412,Desulfovibrio,NA
OTU1188,17.96397409,0.851083414,0.627832797,1.355589289,0.175229882,0.870839412,Blautia,NA
OTU70,0.76149843,-2.459213825,2.004974532,-1.226556141,0.219989462,0.949428206,Acidiphilium,NA
OTU191,2.49453902,-2.166334622,1.759272145,-1.231381187,0.21818033,0.949428206,Brevibacterium,NA
OTU193,0.775037649,-2.483311719,1.968655033,-1.26142553,0.207155575,0.949428206,Corynebacterium,NA
OTU210,0.775037649,-2.477621068,2.014898068,-1.229650823,0.21882789,0.949428206,Actinoplanes,NA
