,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Genus,sig_otu
OTU47,47.6619008,-22.43305048,3.53456363,-6.346766625,2.20E-10,3.01E-08,Pseudomonas,OTU47
OTU22,81.46712194,-8.181322438,1.355052927,-6.037640505,1.56E-09,1.07E-07,Runella,OTU22
OTU37,45.81567281,6.453946117,1.387534423,4.6513773,3.30E-06,0.000150575,Helicobacter,OTU37
OTU1082,71.10291473,-3.604294632,0.81444447,-4.425463937,9.62E-06,0.000329606,Parabacteroides,OTU1082
OTU446,13.22946912,-6.513857265,1.635321162,-3.983228138,6.80E-05,0.001862801,Acetobacterium,OTU446
OTU201,47.93180397,-7.418490124,2.09944256,-3.533552318,0.000410015,0.009362008,Rhodococcus,OTU201
OTU1140,267.9108344,-2.650527328,0.808334152,-3.278999561,0.001041758,0.018048435,Oscillibacter,OTU1140
OTU1212,4.889624348,-5.068425616,1.547269859,-3.275721805,0.001053923,0.018048435,Dehalogenimonas,OTU1212
OTU172,21.7888506,-7.248258451,2.490209725,-2.91070201,0.003606178,0.054894038,Enterococcus,OTU172
OTU493,55.70355003,-6.843488698,2.425621643,-2.821333953,0.004782439,0.065519412,Stenotrophomonas,OTU493
OTU63,4.988820963,-5.13519606,1.952128507,-2.630562508,0.008524369,0.097319882,Acinetobacter,OTU63
OTU79,9.777067825,-6.096347936,2.299472088,-2.65119458,0.008020762,0.097319882,Escherichia,OTU79
OTU106,5.526210964,-3.383085261,1.407293334,-2.403965953,0.016218284,0.158707491,Butyrivibrio,OTU106
OTU535,2.0046738,-3.851081259,1.584504331,-2.430464331,0.01507949,0.158707491,CandidatusArthromitus,OTU535
OTU116,81.64354821,-1.723158679,0.818898236,-2.10424031,0.03535749,0.302748507,Desulfovibrio,OTU116
OTU628,8.713654689,-5.929890266,2.807424923,-2.112216864,0.034667853,0.302748507,Delftia,OTU628
OTU105,8416.059995,1.421483828,0.69148636,2.055693229,0.039812095,0.320838648,Bacteroides,OTU105
OTU938,6.913808655,-5.598537316,2.767594933,-2.022888989,0.043084594,0.327921633,Akkermansia,OTU938
OTU231,12.22832584,-3.167690858,1.684857917,-1.880093761,0.060095301,0.433318747,Acholeplasma,NA
