"","member","name","category","classification"
"1","Dorea longicatena","ACE (Enzyme) inhibitor","Medication","Species"
"2","Bacteroides dorei","Administered Ciprofloxacin","Medication","Mixed"
"3","Akkermansia municiphilia","Administered Ciprofloxacin","Medication","Mixed"
"4","Roseburia","Administered Ciprofloxacin","Medication","Mixed"
"5","Bacteroidetes S24_7","Administered Low Dose Penicillium (increase)","Medication","Mixed"
"6","Anaeroplasma","Administered Low Dose Penicillium (increase)","Medication","Mixed"
"7","Coprobacillus","Administered Low Dose Penicillium (increase)","Medication","Mixed"
"8","Ruminococcaceae","Administered Low Dose Penicillium (increase)","Medication","Mixed"
"9","Oscillospira","Administered Low Dose Penicillium (increase)","Medication","Mixed"
"10","Ruminococcus","Administered Low Dose Penicillium (increase)","Medication","Mixed"
"11","Lactobacillus","Administered Low Dose Penicillium (decrease)","Medication","Mixed"
"12","Prevotella","Administered Low Dose Penicillium (decrease)","Medication","Mixed"
"13","F16","Administered Low Dose Penicillium (decrease)","Medication","Mixed"
"14","Clostridiaceae_02d06","Administered Low Dose Penicillium (decrease)","Medication","Mixed"
"15","CandidatusArthromitus","Administered Low Dose Penicillium (decrease)","Medication","Mixed"
"16","Allobaculum","Administered Low Dose Penicillium (decrease)","Medication","Mixed"
"17","Bacteroides eggerthii","Alpha blockers","Medication","Species"
"18","Dialister invisus","Alpha blockers","Medication","Species"
"19","Clostridium bolteae","Alpha blockers","Medication","Species"
"20","Barnesiella intestinihominis","Anti histamine adjusted","Medication","Species"
"21","Barnesiella intestinihominis","Anti-androgen oral contraceptive","Medication","Species"
"22","Bifidobacterium adolescentis","Anti-androgen oral contraceptive","Medication","Species"
"23","Bifidobacterium longum","Anti-androgen oral contraceptive","Medication","Species"
"24","Bifidobacterium bifidum","Anti-epileptics","Medication","Species"
"25","Barnesiella intestinihominis","Anti-histamine","Medication","Species"
"26","Bifidobacterium bifidum","Antibiotics merged","Medication","Species"
"27","Bifidobacterium dentium","Antibiotics merged","Medication","Species"
"28","Bifidobacterium longum","Antibiotics merged","Medication","Species"
"29","Bifidobacterium adolescentis","Antibiotics merged adjusted","Medication","Species"
"30","Bifidobacterium longum","Antibiotics merged adjusted","Medication","Species"
"31","Streptococcus mutans","Benzodiazepine derivatives related","Medication","Species"
"32","Streptococcus parasanguinis","Benzodiazepine derivatives related","Medication","Species"
"33","Streptococcus parasanguinis","Beta blockers","Medication","Species"
"34","Eggerthella unclassified","Betampathomimetic inhaler","Medication","Species"
"35","Eubacterium eligens","Betampathomimetic inhaler","Medication","Species"
"36","Lachnospiraceae bacterium 1 4 56FAA","Betampathomimetic inhaler","Medication","Species"
"37","Streptococcus thermophilus","BioMK BetaDefensin2 adjusted","Medication","Species"
"38","Streptococcus australis","BioMK BetaDefensin2 adjusted","Medication","Species"
"39","Streptococcus anginosus","BioMK Calprotectin adjusted","Medication","Species"
"40","Streptococcus vestibularis","BioMK Calprotectin adjusted","Medication","Species"
"41","Escherichiali","BioMK Calprotectin adjusted","Medication","Species"
"42","Streptococcus mutans","BioMK Calprotectin adjusted","Medication","Species"
"43","Streptococcus parasanguinis","BioMK Calprotectin adjusted","Medication","Species"
"44","Streptococcuslivarius","BioMK Calprotectin adjusted","Medication","Species"
"45","Bifidobacterium dentium","BioMK Calprotectin adjusted","Medication","Species"
"46","Rothia mucilaginosa","BioMK Calprotectin adjusted","Medication","Species"
"47","Veillonella parvula","BioMK Calprotectin adjusted","Medication","Species"
"48","Streptococcus australis","BioMK Calprotectin adjusted","Medication","Species"
"49","Escherichia unclassified","BioMK Calprotectin adjusted","Medication","Species"
"50","Streptococcusnguinis","BioMK Calprotectin adjusted","Medication","Species"
"51","Haemophilus parainfluenzae","BioMK Calprotectin adjusted","Medication","Species"
"52","Veillonella unclassified","BioMK Calprotectin adjusted","Medication","Species"
"53","Methanobrevibacterithii","BioMK ChromograninA adjusted","Medication","Species"
"54","Alistipesnegalensis","BioMK ChromograninA adjusted","Medication","Species"
"55","Bacteroidales bacterium ph8","BioMK ChromograninA adjusted","Medication","Species"
"56","Ruminococcusavus","BioMK ChromograninA adjusted","Medication","Species"
"57","Eubacteriumraeum","BioMK ChromograninA adjusted","Medication","Species"
"58","Alistipesahii","BioMK ChromograninA adjusted","Medication","Species"
"59","Eggerthella unclassified","BioMK ChromograninA adjusted","Medication","Species"
"60","Methanobrevibacter unclassified","BioMK ChromograninA adjusted","Medication","Species"
"61","Akkermansia muciniphila","BioMK ChromograninA adjusted","Medication","Species"
"62","Desulfovibrio piger","BioMK ChromograninA adjusted","Medication","Species"
"63","Alistipes indistinctus","BioMK ChromograninA adjusted","Medication","Species"
"64","Subdoligranulum unclassified","BioMK ChromograninA adjusted","Medication","Species"
"65","Paraprevotella unclassified","BioMK ChromograninA adjusted","Medication","Species"
"66","Eubacterium eligens","BioMK ChromograninA adjusted","Medication","Species"
"67","Alistipes putredinis","BioMK ChromograninA adjusted","Medication","Species"
"68","Paraprevotellaara","BioMK ChromograninA adjusted","Medication","Species"
"69","Parabacteroidesldsteinii","BioMK ChromograninA adjusted","Medication","Species"
"70","Barnesiella intestinihominis","BioMK ChromograninA adjusted","Medication","Species"
"71","Bacteroidesccae","BioMK ChromograninA adjusted","Medication","Species"
"72","Lachnospiraceae bacterium 1 4 56FAA","BioMK ChromograninA adjusted","Medication","Species"
"73","Olsenella unclassified","BioMK ChromograninA adjusted","Medication","Species"
"74","Anaerotruncus unclassified","BioMK ChromograninA adjusted","Medication","Species"
"75","Bifidobacterium longum","BioMK ChromograninA adjusted","Medication","Species"
"76","Bilophila unclassified","BioMK ChromograninA adjusted","Medication","Species"
"77","Roseburia hominis","BioMK ChromograninA adjusted","Medication","Species"
"78","Gordonibacter pamelaeae","BioMK ChromograninA adjusted","Medication","Species"
"79","Streptococcus thermophilus","BioMK ChromograninA adjusted","Medication","Species"
"80","Lachnospiraceae bacterium 7 1 58FAA","BioMK ChromograninA adjusted","Medication","Species"
"81","Streptococcusnguinis","BioMK ChromograninA adjusted","Medication","Species"
"82","Parabacteroides distasonis","BioMK ChromograninA adjusted","Medication","Species"
"83","Butyrivibrioossotus","BioMK ChromograninA adjusted","Medication","Species"
"84","Streptococcus parasanguinis","BioMK ChromograninA adjusted","Medication","Species"
"85","Eggerthella lenta","BioMK ChromograninA adjusted","Medication","Species"
"86","Odoribacterlanchnicus","BioMK ChromograninA adjusted","Medication","Species"
"87","Lachnospiraceae bacterium 2 1 58FAA","BioMK ChromograninA adjusted","Medication","Species"
"88","Bacteroidesllulosilyticus","BioMK ChromograninA adjusted","Medication","Species"
"89","Parabacteroides unclassified","BioMK ChromograninA adjusted","Medication","Species"
"90","Bacteroides uniformis","BioMK ChromograninA adjusted","Medication","Species"
"91","Phascolarctobacteriumccinatutens","BioMK ChromograninA adjusted","Medication","Species"
"92","Clostridium L2 50","BioMK ChromograninA adjusted","Medication","Species"
"93","Bacteroides eggerthii","BioMK ChromograninA adjusted","Medication","Species"
"94","Coprococcustus","BioMK ChromograninA adjusted","Medication","Species"
"95","Eubacterium rectale","BioMK ChromograninA adjusted","Medication","Species"
"96","Bacteroides thetaiotaomicron","BioMK ChromograninA adjusted","Medication","Species"
"97","Ruminococcus bromii","BioMK ChromograninA adjusted","Medication","Species"
"98","Eubacterium biforme","BioMK ChromograninA adjusted","Medication","Species"
"99","Mitsuokella unclassified","BioMK ChromograninA adjusted","Medication","Species"
"100","Bacteroides plebeius","BioMK ChromograninA adjusted","Medication","Species"
"101","Collinsella aerofaciens","BioMK ChromograninA adjusted","Medication","Species"
