Rank	Score	Type	ID	Name	Description
8551	-92.24	cp	BRD-K41859756	NVP-AUY922	HSP inhibitor
8548	-89.18	cp	BRD-A17065207	brefeldin-a	Protein synthesis inhibitor
8547	-86.61	cp	BRD-A38030642	cyclosporin-a	Calcineurin inhibitor
8544	-84.34	cp	BRD-A35989968	megestrol	Progesterone receptor agonist
8540	-82.29	cp	BRD-K68174511	torin-2	MTOR inhibitor
8537	-79.85	cp	BRD-A50737080	CGK-733	ATR kinase inhibitor
8536	-79.14	cp	BRD-K10573841	tunicamycin	GLCNAC phosphotransferase inhibitor
8535	-78.1	cp	BRD-A67438293	treprostinil	Prostacyclin analog
8533	-75.17	cp	BRD-K68336408	tyrphostin-AG-1478	EGFR inhibitor
8531	-74.39	cp	BRD-A13133631	fluorometholone	Glucocorticoid receptor agonist
8530	-73.33	cp	BRD-K07403598	CAY-10470	NFkB pathway inhibitor
8529	-72.34	cp	BRD-A19500257	geldanamycin	HSP inhibitor
8527	-69.27	cp	BRD-K78659596	MLN-2238	Proteasome inhibitor
8525	-68.86	cp	BRD-K15600710	obatoclax	BCL inhibitor
8526	-68.86	cp	BRD-K03406345	azacitidine	DNA methyltransferase inhibitor
8522	-67.91	cp	BRD-A35338386	NECA	Adenosine receptor agonist
8521	-66.88	cp	BRD-K51290057	SA-792709	Retinoid receptor agonist
8519	-65.91	cp	BRD-K31912990	CGP-71683	Neuropeptide receptor antagonist
8518	-65.74	cp	BRD-K73395020	SA-1478088	-666
8517	-65.03	cp	BRD-K91904471	SD-169	p38 MAPK inhibitor
8515	-63.76	cp	BRD-K86003836	flubendazole	Tubulin inhibitor
8513	-62.58	cp	BRD-K36737713	AG-957	Protein tyrosine kinase inhibitor
8512	-62.12	cp	BRD-K21672174	RO-28-1675	Glucokinase activator
8511	-61.55	cp	BRD-K05350981	oligomycin-c	ATPase inhibitor
8509	-61.04	cp	BRD-A98283014	calmidazolium	Calcium channel blocker
