Rank	Score	Type	ID	Name	Description
7	82.61	cp	BRD-K92428153	mycophenolate-mofetil	Dehydrogenase inhibitor
11	78.13	cp	BRD-A10969569	ambelline	Plant alkaloid
18	75.48	cp	BRD-K59184148	SB-216763	Glycogen synthase kinase inhibitor
20	75.38	cp	BRD-K96778649	tyrphostin-47	EGFR inhibitor
22	74.63	cp	BRD-K72093121	vidarabine	Antiviral
23	74.46	cp	BRD-K54095730	CMPD-1	p38 MAPK inhibitor
24	74.04	cp	BRD-K41868777	W-5	Calmodulin antagonist
26	73.5	cp	BRD-A61858259	CAY-10415	Insulin sensitizer
28	72.7	cp	BRD-K09638361	SA-63133	-666
33	71.77	cp	BRD-A13807286	HA-14-1	BCL inhibitor
34	71.45	cp	BRD-A30435184	metergoline	Dopamine receptor agonist
43	68.28	cp	BRD-A52193669	withaferin-a	IKK inhibitor
47	66.21	cp	BRD-K71512533	SNS-314	Aurora kinase inhibitor
50	64.92	cp	BRD-K03557653	sappanone-a	Tyrosinase inhibitor
52	63.96	cp	BRD-A13946108	sulindac	Cyclooxygenase inhibitor
62	60.8	cp	BRD-K02590140	O-2050	Cannabinoid receptor antagonist
65	60.1	cp	BRD-A65597028	RX-821002	Adrenergic receptor antagonist
67	59.92	cp	BRD-K25504083	cytochalasin-d	Actin polymerization inhibitor
71	59.47	cp	BRD-K49519144	LY-2140023	Glutamate receptor agonist
79	57.13	cp	BRD-K37447567	hydrocotarnine	Opioid receptor antagonist
81	56.82	cp	BRD-K32828673	chelidonine	Tubulin inhibitor
87	55.36	cp	BRD-A83855350	naltrexone	Opioid receptor antagonist
89	55	cp	BRD-K70330367	amantadine	Glutamate receptor antagonist
90	54.9	cp	BRD-K82795137	loratadine	Histamine receptor antagonist
94	54.19	cp	BRD-A16311756	profenamine	Butyrylcholinesterase inhibitor
97	52.68	cp	BRD-K51290057	SA-792709	Retinoid receptor agonist
102	50.91	cp	BRD-A64228451	terreic-acid	BTK inhibitor
103	50.8	cp	BRD-A56020723	CA-074-Me	Cathepsin inhibitor
105	50.55	cp	BRD-A64479082	quinidine	Sodium channel blocker
107	49.87	cp	BRD-K48427617	U-0124	MEK inhibitor
111	49.33	cp	BRD-A47144777	dihydro-7-desacetyldeoxygedunin	HSP inhibitor
113	49.08	cp	BRD-K94176593	TWS-119	Glycogen synthase kinase inhibitor
116	48.14	cp	BRD-A20589515	dihydroxyphenylglycine	Glutamate receptor agonist
118	47.84	cp	BRD-A28422058	L-689560	Glutamate receptor antagonist
119	47.78	cp	BRD-K66766661	17-beta-estradiol	Estrogen receptor agonist
122	47.53	cp	BRD-K57546357	prunetin	Breast cancer resistance protein inhibitor
123	47.34	cp	BRD-K76907295	VU-0418947-2	HIF modulator
125	47.19	cp	BRD-K06926592	tretinoin	Retinoid receptor agonist
127	46.58	cp	BRD-K30296925	flavokavain-b	Antineoplastic
128	46.54	cp	BRD-K69328504	L-690488	Inositol monophosphatase inhibitor
132	46.02	cp	BRD-K78084463	W-12	Calmodulin antagonist
133	45.88	cp	BRD-A48809242	IB-MECA	Adenosine receptor agonist
134	45.88	cp	BRD-A68039575	liquiritigenin	Aromatase inhibitor
138	45.31	cp	BRD-K68246049	TTNPB	Retinoid receptor agonist
139	44.8	cp	BRD-K53545112	CNQX	Glutamate receptor antagonist
140	44.72	cp	BRD-A77118605	BML-ST330	Phospholipase inhibitor
141	44.3	cp	BRD-A96485169	EBPC	Aldose reductase inhibitor
142	44.23	cp	BRD-K73395020	SA-1478088	-666
143	43.63	cp	BRD-K17497770	butein	EGFR inhibitor
145	43.08	cp	BRD-A43331270	niguldipine	Calcium channel blocker
148	42.71	cp	BRD-K06014311	DH-97	Melatonin receptor antagonist
151	41.83	cp	BRD-K83289131	CAY-10618	NAMPT inhibitor
157	40.82	cp	BRD-K95992530	Cyclo-[Arg-Gly-Asp-D-Phe-Val]	integrin antagonist
159	40.59	cp	BRD-K57011718	UK-356618	Metalloproteinase inhibitor
163	39.53	cp	BRD-K67831364	ZM-323881	VEGFR inhibitor
164	39.48	cp	BRD-K64341947	CFM-1571	Guanylate cyclase activator
165	39.13	cp	BRD-K68103045	CGS-20625	Benzodiazepine receptor agonist
166	39	cp	BRD-K63641886	cefuroxime	Bacterial cell wall synthesis inhibitor
167	38.56	cp	BRD-K32836707	CAY-10577	Casein kinase inhibitor
172	37.65	cp	BRD-A95445494	maackiain	Sodium/glucose cotransporter inhibitor
173	37.45	cp	BRD-K97118047	4,5,6,7-tetrabromobenzotriazole	Casein kinase inhibitor
175	36.95	cp	BRD-A39415247	norethisterone	Progesterone receptor agonist
179	35.94	cp	BRD-A91866971	SQ-29548	Thromboxane receptor antagonist
180	35.87	cp	BRD-K44067360	flufenamic-acid	Chloride channel blocker
